,india,new_zealand,argentina,singapore,china,indonesia,finland,germany,canada,switzerland,brazil,australia,egypt,hong_kong,united_states,malaysia,israel,south_africa
125,3,3,1,1,3,3,1,1,3,1,2,2,1,2,2,3,2,1
126,3,0,3,1,3,3,2,3,3,2,3,1,2,2,3,3,2,1
127,3,0,3,1,3,2,1,1,3,0,3,1,2,2,3,3,2,2
128,3,3,1,1,3,1,1,1,3,1,2,0,1,2,2,2,2,1
129,3,0,1,1,3,3,2,1,3,1,2,2,1,2,2,2,2,1
130,3,0,3,1,3,2,1,1,3,2,3,1,2,2,3,3,2,2
131,3,3,0,1,3,1,1,1,3,1,2,0,1,2,2,2,2,1
132,3,0,3,1,3,2,1,1,3,0,3,1,2,2,3,3,2,2
133,3,0,3,1,3,3,2,3,3,1,3,2,1,2,2,2,2,1
134,3,3,0,1,3,1,1,1,3,1,2,0,1,2,2,2,2,1
135,3,3,1,1,3,1,1,1,3,1,2,0,1,2,2,2,2,1
136,3,0,3,1,3,2,1,1,3,0,3,1,2,2,3,3,2,2
137,3,0,3,1,3,3,2,3,3,2,3,1,2,2,3,3,2,2
138,3,0,3,1,3,3,2,3,3,2,3,2,1,2,2,2,2,1
139,3,0,3,1,3,2,1,1,3,0,3,1,2,2,3,3,2,2
140,3,0,3,1,3,2,1,1,3,0,3,1,2,2,3,3,2,2
141,3,3,0,1,3,1,1,1,3,1,2,0,1,2,2,2,2,1
142,3,0,3,1,3,2,1,1,3,0,3,1,2,2,3,3,2,2
143,3,0,3,1,3,3,2,3,3,1,3,2,1,2,2,2,2,1
144,3,3,0,1,3,1,1,1,3,1,2,0,1,2,2,2,2,1
145,3,0,3,1,3,2,1,1,3,0,3,1,2,2,3,3,2,2
146,3,0,3,1,3,3,2,3,3,2,3,2,1,2,2,2,2,1
147,3,3,0,1,3,1,1,1,3,1,2,0,1,2,2,2,2,1
148,3,0,1,1,3,3,2,3,3,2,3,1,2,2,2,2,2,1
149,3,0,1,1,3,3,2,3,3,2,3,2,1,2,2,2,2,1
150,3,0,3,1,3,2,1,1,3,0,3,1,2,2,3,3,2,2
151,3,0,3,1,3,2,1,1,3,0,3,1,2,2,3,3,2,2
152,3,3,0,1,3,1,1,1,3,1,2,0,1,2,2,2,2,1
153,3,0,3,1,3,3,2,3,3,2,3,1,2,2,3,3,2,2
154,3,0,3,1,3,3,2,3,3,1,2,2,1,2,2,3,2,1
155,3,3,1,1,3,3,1,1,3,1,2,0,1,2,2,3,2,1
156,3,0,3,1,3,3,2,3,3,2,3,1,2,2,3,3,2,2
157,3,3,0,1,3,1,1,1,3,1,2,0,1,2,2,2,2,1
158,3,0,3,1,3,2,1,1,3,0,3,1,2,2,3,3,2,2
159,3,0,3,1,3,2,1,1,3,0,3,1,2,2,3,3,2,2
160,3,0,3,1,3,2,1,1,3,0,3,1,2,2,3,3,2,2
161,3,3,1,1,3,3,1,1,3,1,2,0,1,2,2,2,2,1
162,3,0,1,1,3,3,2,3,3,2,3,1,1,2,2,2,2,1
163,3,0,3,1,3,2,1,1,3,0,3,1,2,2,3,3,2,2
164,3,0,3,1,3,2,1,1,3,0,3,1,2,2,3,3,2,2
