,india,new_zealand,argentina,singapore,china,indonesia,finland,germany,canada,switzerland,brazil,australia,egypt,hong_kong,united_states,malaysia,israel,south_africa
56,2,0,2,2,2,2,2,2,3,2,3,2,2,2,1,3,2,1
57,3,0,2,2,2,2,2,3,3,2,3,2,2,2,2,3,2,2
58,3,0,2,2,3,2,1,2,2,2,3,2,2,2,2,3,2,2
59,3,0,2,2,2,2,2,3,3,2,3,2,2,2,2,3,2,2
60,2,0,2,2,2,2,2,2,3,2,3,2,1,2,1,3,2,1
61,3,0,2,2,3,2,1,2,2,2,3,2,2,2,2,3,2,2
62,3,0,2,2,3,2,1,2,2,2,3,2,2,2,2,3,2,2
63,3,0,2,2,2,2,2,2,3,2,3,2,1,2,2,2,2,1
64,2,3,1,1,3,1,1,2,3,2,2,2,1,2,2,1,2,2
65,2,3,1,1,3,1,1,2,3,2,2,2,1,2,2,1,2,2
66,3,0,2,2,2,2,2,2,3,2,3,2,1,2,1,3,2,1
67,3,0,2,2,3,2,1,2,2,2,3,2,2,2,2,3,2,2
68,3,0,2,2,3,2,1,2,2,2,3,2,2,2,2,3,2,2
69,3,0,2,2,3,2,1,2,2,2,3,2,2,2,2,3,2,2
70,3,0,2,2,3,2,1,2,2,2,3,2,2,2,2,3,2,2
71,3,0,2,2,3,2,1,2,2,2,3,2,2,2,2,3,2,2
72,2,3,1,1,3,1,1,2,3,2,2,2,1,2,2,1,2,2
73,3,0,2,2,3,2,1,2,2,2,3,2,2,2,2,3,2,2
74,3,0,2,2,3,2,1,2,2,2,3,2,2,2,2,3,2,2
75,3,0,2,1,3,2,1,2,3,2,2,2,1,2,2,2,2,2
76,3,0,2,1,3,2,1,2,3,2,2,2,1,2,2,2,2,2
77,3,0,2,2,3,2,1,2,2,2,3,2,2,2,2,3,2,2
78,3,0,2,2,2,2,2,2,3,2,3,2,1,2,1,3,2,1
79,2,3,2,1,3,1,1,2,3,2,2,2,1,2,2,1,2,2
80,3,0,2,2,2,2,2,2,3,2,3,2,1,2,1,3,2,1
81,3,0,2,2,3,2,1,2,2,2,3,2,2,2,2,3,2,2
82,3,0,2,2,3,2,1,2,2,2,3,2,2,2,2,3,2,2
83,3,0,2,1,3,2,1,2,3,2,2,2,1,2,2,2,2,2
84,3,0,2,2,3,2,1,2,2,2,3,2,2,2,2,3,2,2
85,2,0,2,2,2,2,2,3,3,2,3,2,2,2,2,3,2,1
86,2,3,1,1,3,1,1,2,3,2,2,2,1,2,2,1,2,2
87,3,0,2,2,3,2,1,2,2,2,3,2,2,2,2,3,2,2
88,3,0,2,2,3,2,1,2,2,2,3,2,2,2,2,3,2,2
89,2,3,1,1,3,1,1,2,3,2,2,2,1,2,2,1,2,2
90,3,0,2,2,3,2,1,2,2,2,3,2,2,2,2,3,2,2
91,2,3,1,1,3,1,1,2,3,2,2,2,1,2,2,1,2,2
92,3,0,2,2,2,2,2,2,3,2,3,2,1,2,1,3,2,1
93,2,3,1,1,3,1,1,2,3,2,2,2,1,2,2,1,2,2
94,3,0,2,2,3,2,1,2,2,2,3,2,2,2,2,3,2,2
95,2,3,1,1,3,1,1,2,3,2,2,2,1,2,2,1,2,2
96,2,3,1,1,3,1,1,2,3,2,2,2,1,2,2,1,2,2
97,2,3,1,1,3,1,1,2,3,2,2,2,1,2,2,1,2,2
98,2,0,2,2,2,2,2,2,3,2,3,2,1,2,1,3,2,1
99,3,0,2,2,3,2,1,2,2,2,3,2,2,2,2,3,2,2
100,2,3,1,1,3,1,1,2,3,2,2,2,1,2,2,1,2,2
101,3,0,2,2,2,2,2,2,3,2,3,2,1,2,1,3,2,1
102,2,0,2,2,2,2,2,3,3,2,2,2,2,2,2,3,2,2
103,2,3,1,1,3,1,1,2,3,2,2,2,1,2,2,1,2,2
104,3,0,2,2,3,2,1,2,2,2,3,2,2,2,2,3,2,2
105,2,3,1,1,3,1,1,2,3,2,2,2,1,2,2,1,2,2
106,3,0,2,2,3,2,1,2,2,2,3,2,2,2,2,3,2,2
107,3,0,2,1,3,2,1,2,3,2,2,2,1,2,2,2,2,2
108,2,3,2,1,3,2,1,2,3,2,2,2,1,2,2,2,2,2
109,3,0,2,2,3,2,1,2,2,2,3,2,2,2,2,3,2,2
110,3,0,2,1,3,2,1,2,3,2,2,2,1,2,2,2,2,2
111,3,0,2,1,3,2,1,2,3,2,2,2,1,2,2,2,2,2
112,2,0,2,2,2,2,2,2,3,2,3,2,1,2,1,3,2,1
113,3,0,2,2,3,2,1,2,2,2,3,2,2,2,2,3,2,2
114,3,0,2,2,3,2,1,2,2,2,3,2,2,2,2,3,2,2
115,3,0,2,1,2,2,2,2,3,2,2,2,1,2,2,2,2,2
116,3,0,2,2,3,2,1,2,2,2,3,2,2,2,2,3,2,2
117,3,0,2,2,3,2,1,2,2,2,3,2,2,2,2,3,2,2
118,2,0,2,2,2,2,2,2,3,2,3,2,1,2,1,3,2,1
119,3,0,2,2,3,2,1,2,2,2,3,2,2,2,2,3,2,2
120,3,0,2,2,2,2,2,2,3,2,3,2,1,2,2,2,2,1
121,2,3,2,1,3,1,1,2,3,2,2,2,1,2,2,1,2,2
122,3,0,2,2,3,2,1,2,2,2,3,2,2,2,2,3,2,2
123,3,0,2,2,2,2,2,3,3,2,3,2,2,2,2,3,2,2
124,3,0,2,2,3,2,1,2,2,2,3,2,2,2,2,3,2,2
125,2,3,2,1,3,2,1,2,3,2,2,2,1,2,2,2,2,2
126,2,0,2,2,2,2,2,3,3,2,3,2,2,2,2,3,2,1
127,3,0,2,2,3,2,1,2,2,2,3,2,2,2,2,3,2,2
128,2,3,2,1,3,1,1,2,3,2,2,2,1,2,2,1,2,2
129,3,0,2,1,2,2,2,2,3,2,2,2,1,2,2,3,2,1
130,3,0,2,2,2,2,1,2,3,2,3,2,2,2,2,3,2,2
131,2,3,1,1,3,1,1,2,3,2,2,2,1,2,2,1,2,2
132,3,0,2,2,3,2,1,2,2,2,3,2,2,2,2,3,2,2
133,3,0,2,2,2,2,2,2,3,2,3,2,1,2,1,3,2,1
134,2,3,1,1,3,1,1,2,3,2,2,2,1,2,2,1,2,2
135,2,3,2,1,3,1,1,2,3,2,2,2,1,2,2,1,2,2
136,3,0,2,2,3,2,1,2,2,2,3,2,2,2,2,3,2,2
137,2,0,2,2,2,2,2,3,3,2,3,2,2,2,2,3,2,2
138,3,0,2,2,2,2,2,2,3,2,3,2,1,2,1,3,2,1
139,3,0,2,2,3,2,1,2,2,2,3,2,2,2,2,3,2,2
140,3,0,2,2,3,2,1,2,2,2,3,2,2,2,2,3,2,2
141,2,3,1,1,3,1,1,2,3,2,2,2,1,2,2,1,2,2
142,3,0,2,2,3,2,1,2,2,2,3,2,2,2,2,3,2,2
143,3,0,2,2,2,2,2,2,3,2,3,2,1,2,1,3,2,1
144,2,3,1,1,3,1,1,2,3,2,2,2,1,2,2,1,2,2
145,3,0,2,2,3,2,1,2,2,2,3,2,2,2,2,3,2,2
146,3,0,2,2,2,2,2,2,3,2,3,2,1,2,1,3,2,1
147,2,3,1,1,3,1,1,2,3,2,2,2,1,2,2,1,2,2
148,2,0,2,2,2,2,2,2,3,2,3,2,2,2,1,3,2,1
149,3,0,2,2,2,2,2,2,3,2,3,2,1,2,1,3,2,1
150,3,0,2,2,3,2,1,2,2,2,3,2,2,2,2,3,2,2
151,3,0,2,2,3,2,1,2,2,2,3,2,2,2,2,3,2,2
152,2,3,1,1,3,1,1,2,3,2,2,2,1,2,2,1,2,2
153,2,0,2,2,2,2,2,3,3,2,3,2,2,2,2,3,2,2
154,3,0,2,2,2,2,2,2,3,2,2,2,1,2,2,2,2,1
155,2,3,2,1,3,2,1,2,3,2,2,2,1,2,2,2,2,2
156,3,0,2,2,2,2,2,3,3,2,3,2,2,2,2,3,2,2
157,2,3,1,1,3,1,1,2,3,2,2,2,1,2,2,1,2,2
158,3,0,2,2,3,2,1,2,2,2,3,2,2,2,2,3,2,2
159,3,0,2,2,3,2,1,2,2,2,3,2,2,2,2,3,2,2
160,3,0,2,2,3,2,1,2,2,2,3,2,2,2,2,3,2,2
161,2,3,2,1,3,2,1,2,3,2,2,2,1,2,2,1,2,2
162,2,0,2,2,2,2,2,2,3,2,3,2,1,2,1,3,2,1
163,3,0,2,2,3,2,1,2,2,2,3,2,2,2,2,3,2,2
164,3,0,2,2,3,2,1,2,2,2,3,2,2,2,2,3,2,2
